Title,channel_title,published_at,view_count,like_count,comment_count,definition,duration_seconds
#0 Python for Beginners | Programming Tutorial,Telusko,2018-08-16 08:58:58+00:00,8997835,95477,1206,hd,66
"C++, Java or Python? Which language is best for College Placements in India",Apna College,2021-05-11 17:17:41+00:00,8912944,511622,2159,hd,60
Python for Everybody - Full University Python Course,freeCodeCamp.org,2019-05-02 12:05:54+00:00,7487045,194245,5044,hd,49210
Harvard CS50’s Introduction to Programming with Python – Full University Course,freeCodeCamp.org,2023-05-01 13:55:40+00:00,7417912,202932,3955,hd,57468
Struggling with Python programming? Learn it in a  Simplest way #shorts #pythonprogramming,Error Makes Clever,2023-06-27 11:54:10+00:00,7469673,418527,1305,hd,61
Python Full Course for free 🐍,Bro Code,2024-08-20 13:00:54+00:00,7272963,236014,13892,hd,43200
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],TechWorld with Nana,2021-03-05 14:10:17+00:00,6572989,167136,3998,hd,19890
Python Tutorial - Python Full Course for Beginners in Tamil,Error Makes Clever,2023-06-29 12:34:28+00:00,6547398,157040,5735,hd,34684
New Python Coders Be Like...,Mr. P Solver,2022-07-31 12:57:40+00:00,5431419,156100,3133,hd,133
How to become a Senior developer.. ♥️ 😂 #programming #javascript #python #coding #developer #coder .,DIVINE CLASSES AN INSTITUTION Of EDUCATION.,2024-07-20 14:48:32+00:00,6332543,200454,3029,hd,18
Python OOP Tutorial 1: Classes and Instances,Corey Schafer,2016-06-20 17:00:03+00:00,4829674,123109,3876,hd,924
12 Beginner Python Projects - Coding Course,freeCodeCamp.org,2020-12-09 16:03:12+00:00,4809354,123225,2370,hd,10829
Intermediate Python Programming Course,freeCodeCamp.org,2020-08-27 17:23:03+00:00,4226422,89483,1965,hd,21347
తెలుగులో Python నేర్చుకోండి | Learn Python Programming from Basics with Examples 2025,Sundeep Saradhi Kanthety,2020-10-28 10:12:08+00:00,4208543,95392,1756,hd,21166
👩‍💻 Python for Beginners Tutorial,Kevin Stratvert,2021-03-25 10:00:08+00:00,4106939,89491,3051,hd,3801
Learn Coding & Get a Job (in 2025) 🔥,CodeWithHarry,2025-01-08 13:24:58+00:00,4070824,163635,5925,hd,1014
How Much A Python Developer Earn ? | Python Developer Salary In India #Shorts #simplilearn,Simplilearn,2024-06-04 14:05:38+00:00,4711452,165636,45,hd,46
Python for Beginners – Full Course [Programming Tutorial],freeCodeCamp.org,2022-08-09 12:54:23+00:00,3945712,75028,1612,hd,16800
Python Tutorial for Beginners 1: Install and Setup for Mac and Windows,Corey Schafer,2017-05-17 15:30:00+00:00,3912372,46350,1383,hd,929
Lecture 2 : Strings & Conditional Statements | Python Full Course,Shradha Khapra,2024-01-28 10:19:31+00:00,3885379,51299,2660,hd,3341
Python Object Oriented Programming (OOP) - For Beginners,Tech With Tim,2020-03-29 17:02:09+00:00,3825531,103611,2779,hd,3186
How to Learn to Code,Gohar Khan,2025-07-09 19:17:24+00:00,5180273,217927,2819,hd,73
Some Amazing Python Programs - The Power of Python | Python Tutorial - Day #2,CodeWithHarry,2022-11-29 11:30:07+00:00,3411172,77142,3189,hd,518
How to confuse a Python Developer?,CodeWithHarry,2022-05-11 17:00:09+00:00,3981007,89440,1251,hd,15
Python in 100 Seconds,Fireship,2021-10-25 15:19:28+00:00,2951571,114053,1795,hd,144
EASY Python Mistake!! #python #programming #coding,b001,2023-06-17 19:08:22+00:00,3004855,139564,1909,hd,58
you need to learn Python RIGHT NOW!! // EP 1,NetworkChuck,2021-08-14 17:22:45+00:00,2788724,111764,5154,hd,1062
